,YM_x,JOIN_KEY_x,BTH_YR,GENDER,SCTR_CD,COM_KEY,LN_CD_1,LN_CD_2,LN_YM,LN_AMT,CD_OPN_CD_1,CD_OPN_CD_2,CD_OPN_YM
0,201802,000056F95A2FBFC8F3999E8FFB9A69679866AB59DF3BD7A79650B8BE4A32A8FD,1980,1,1,792272B9C1ED6AF594D1C56A781C40709B7C3BEBBF3867515BEEA4F2947ED5B9,31,100,201212,25000,81,1,201606
1,201802,0000B31F01D4EF332CE61EB85A090E5EC0E757C496D27CCC26A3441D7C8FE01F,1989,2,1,9ABAC1D2DB7A8C77A7A72FA1C3740A77FCD63137C583D962CD48590C49CF7A84,31,220,201002,87000,81,1,200808
2,201802,0000F736EED7D27148F84D40C824178D895F47A9F90203DBDFBA1B04893BF3D3,1977,1,1,25908A4CC7EE760FF3A51313618C6AB24593B15F573097B210D16249367005B7,31,100,201710,50000,81,1,201503
3,201802,0000F736EED7D27148F84D40C824178D895F47A9F90203DBDFBA1B04893BF3D3,1977,1,1,29D1960A731133DE72BC8A192278D0B937E212BAA5303945CADBEBDA112E2E42,31,220,201507,55000,81,1,201009
4,201802,0000F736EED7D27148F84D40C824178D895F47A9F90203DBDFBA1B04893BF3D3,1977,1,1,29D1960A731133DE72BC8A192278D0B937E212BAA5303945CADBEBDA112E2E42,37,0,201704,14000,81,1,201009
5,201802,00012082C8BAEA14547C689B65C7063638F1AB425458ACC90045534DD729D5F7,1944,1,3,4E993735ABDA5E4BF2D1E0AE914D411CBC22B277F388EDBBBB9FBC2722087AFC,31,270,201307,30000,81,1,201611
6,201802,000133A8D385302CCEEB9BB936A32ADCE3AB979B028C687890D9A6D2483EE25A,1975,2,5,0924E6311E2599FA96A52A84F582C48E3E74450885264ABF296537A645C45E65,41,0,201702,2600,81,1,199512
7,201802,000133A8D385302CCEEB9BB936A32ADCE3AB979B028C687890D9A6D2483EE25A,1975,2,5,0924E6311E2599FA96A52A84F582C48E3E74450885264ABF296537A645C45E65,41,0,201305,3100,81,1,199512
8,201802,000135868B4B642A9DDE0EEE54C7E3904BA368A706E2743CEAA6E4FA4C6EBC17,1952,1,3,C03CE3A4C9BF9E714142FF32B3F0E6E3A4AA4A355D4936B56D01944566ADD9C7,31,100,200506,20000,81,2,201504
9,201802,00015083AE07BCC7E3E4F22DCFC8C3334C972FA2860FD1B47A648B306038B48E,1958,1,3,F23CE8394A2CD7416F7549D2A0DFF2967F11E2D70A1B29D6E08D93F58ED78B6E,31,100,201307,70000,81,1,200008
