YM|JOIN_KEY|SCTR_CD|COM_KEY|DLQ_TYPE|DLQ_CD_1|DLQ_CD_2|DLQ_YM|DLQ_AMT
201801|X0010254691714933659|21|Y1605029911648266013|1|0101|0|201801|5700
201802|X0010254691714933659|21|Y1605029911648266013|1|0101|0|201801|5700
201612|X0214807498644962070|05|Y4755574378503849999|1|0104|7|201611|900
201612|X0214807498644962070|98|Y9036878020951295900|1|0101|0|201404|10000
201701|X0214807498644962070|05|Y4755574378503849999|1|0104|7|201611|900
201701|X0214807498644962070|98|Y9036878020951295900|1|0101|0|201404|10000
201702|X0214807498644962070|05|Y4755574378503849999|1|0104|7|201611|900
201702|X0214807498644962070|98|Y9036878020951295900|1|0101|0|201404|10000
201703|X0214807498644962070|05|Y4755574378503849999|1|0104|7|201611|900
201703|X0214807498644962070|98|Y9036878020951295900|1|0101|0|201404|10000
201704|X0214807498644962070|05|Y4755574378503849999|1|0104|7|201611|900
201704|X0214807498644962070|98|Y9036878020951295900|1|0101|0|201404|10000
201705|X0214807498644962070|05|Y4755574378503849999|1|0104|7|201611|900
201705|X0214807498644962070|98|Y9036878020951295900|1|0101|0|201404|10000
201706|X0214807498644962070|05|Y4755574378503849999|1|0104|7|201611|900
201706|X0214807498644962070|98|Y4768932821498392758|1|0202|0|201706|12000
201706|X0214807498644962070|98|Y9036878020951295900|1|0101|0|201404|10000
201707|X0214807498644962070|05|Y4755574378503849999|1|0104|7|201611|900
201707|X0214807498644962070|98|Y4768932821498392758|1|0202|0|201706|12000
201707|X0214807498644962070|98|Y9036878020951295900|1|0101|0|201404|10000
201708|X0214807498644962070|05|Y4755574378503849999|1|0104|7|201611|900
201708|X0214807498644962070|98|Y4768932821498392758|1|0202|0|201706|12000
201708|X0214807498644962070|98|Y9036878020951295900|1|0101|0|201404|10000
201709|X0214807498644962070|05|Y4755574378503849999|1|0104|7|201611|900
201709|X0214807498644962070|98|Y4768932821498392758|1|0202|0|201706|12000
201709|X0214807498644962070|98|Y9036878020951295900|1|0101|0|201404|10000
201710|X0214807498644962070|05|Y4755574378503849999|1|0104|7|201611|900
201710|X0214807498644962070|98|Y4768932821498392758|1|0202|0|201706|12000
201710|X0214807498644962070|98|Y9036878020951295900|1|0101|0|201404|10000
201711|X0214807498644962070|05|Y4755574378503849999|1|0104|7|201611|900
201711|X0214807498644962070|98|Y4768932821498392758|1|0202|0|201706|12000
201711|X0214807498644962070|98|Y9036878020951295900|1|0101|0|201404|10000
201712|X0214807498644962070|05|Y4755574378503849999|1|0104|7|201611|900
201712|X0214807498644962070|98|Y4768932821498392758|1|0202|0|201706|12000
201712|X0214807498644962070|98|Y9036878020951295900|1|0101|0|201404|10000
201801|X0214807498644962070|05|Y4755574378503849999|1|0104|7|201611|900
201801|X0214807498644962070|98|Y4768932821498392758|1|0202|0|201706|12000
201801|X0214807498644962070|98|Y9036878020951295900|1|0101|0|201404|10000
201802|X0214807498644962070|01|X3032578545057756902|1|0101|0|201802|270000
201802|X0214807498644962070|05|Y4755574378503849999|1|0104|7|201611|900
201802|X0214807498644962070|98|Y4768932821498392758|1|0202|0|201706|12000
201802|X0214807498644962070|98|Y9036878020951295900|1|0101|0|201404|10000
