JOIN_KEY|BTH_YR|GENDER
X0010254691714933659|1990|1
X0013455316779233219|1954|2
X0019385710745765957|1977|1
X0019442830801994941|1992|1
X0032015350750301834|1968|1
X0040437714409076855|1961|2
X0060546064543865767|1994|1
X0080319379158089172|1985|1
X0088676443599868338|1999|2
X0113312418671928134|1998|1
X0140193890593502132|1956|2
X0145676426465876109|1968|2
X0175285231787076298|1984|2
X0177996937041300376|1994|2
X0203394909997638707|1978|1
X0209640967062397585|1964|2
X0210575559057013960|1972|2
X0212061638066139876|1967|2
X0214807498644962070|1973|1
X0215247670892594418|1980|1
X0216321737024323898|1961|2
X0221212769369921829|1967|1
X0241291520095316932|1970|2
X0247060335368829801|1957|2
X0251392774322440779|1949|1
X0285439617596665512|1943|2
X0286636161588845387|1941|2
X0295829070632811451|1982|2
X0298465323177514236|1968|2
X0301386901660578111|1977|1
X0312781276809299306|1969|1
X0314608091836797889|1974|2
X0327785723698884853|1939|2
X0333044583416978151|1951|2
X0339813499954255847|1978|2
X0342060941186493169|1956|1
X0348610625361473636|1985|1
X0377358127202124582|1961|2
X0392110483605601454|1954|2
X0395097918011318696|1942|2
X0405806031336308091|1979|2
X0412073205247474149|1992|2
X0413657394880531462|1992|1
X0422341154717735615|1989|1
X0455965488226319910|1986|2
X0456268139651732219|1950|2
X0471166329698944221|1956|1
X0472554518406992051|1982|2
X0473756250702972881|1958|2
X0474444465014724107|1967|1
X0486603805283773310|1992|2
X0503775240443034790|1989|1
X0514353563147030638|1982|1
X0532679315083829433|1982|2
X0537256399475264198|1965|2
X0572496026694316067|1978|1
X0606248352401086725|1960|2
X0613099534023310630|1967|2
X0625576491039381544|1947|2
X0637170584222319633|1994|2
X0661810409959229091|1977|1
X0668057101990803274|1978|1
X0693784475092091273|1966|2
X0698604890950596581|1990|2
X0703401069578360095|1981|2
X0720034225720248995|1975|2
X0730311770295694854|1985|1
X0743061348227031829|1953|1
X0749357130499290257|1977|1
X0762228502784860589|1974|1
X0764410479830242880|1982|1
X0774510471813945692|1989|1
X0774910241059947747|1995|2
X0779005553198332585|1999|1
X0779652289103911517|1970|1
X0785809021912126924|1977|1
X0791761078322160765|1939|2
X0796947585904452703|1967|1
X0803967979372159613|1984|2
X0809448353684397318|1982|1
X0823939707811858971|1957|1
X0828950128790579787|1972|2
X0837953406890401060|1977|2
X0848384277975062306|1942|2
X0848424531375876030|1971|1
X0853428001738506356|1942|2
X0861751981142527673|1988|2
X0866316143886259825|1969|1
X0867055772289735448|1947|1
X0873338590822724632|1971|1
X0875438910676323028|1955|1
X0879706230138632991|1960|1
X0888038148131329959|1974|1
X0895513129120087451|1987|1
X0902321530762177031|1964|2
X0959519130918248285|1978|1
X0960497662201244784|1995|1
X0960894091378478080|1943|1
X0983558409008878998|1980|2
X1000229353920307289|1960|2
X1025236457578208991|1984|2
X1042659619648195910|1973|1
X1053578104200330831|1984|1
X1069545832401149615|1958|1
X1091864728115573215|1982|1
X1092541663293331460|1987|2
X1111758388561320032|1943|1
X1137695444463724851|1965|1
X1173425617012937013|1951|1
X1173800509457619603|1958|1
X1180826761489217056|1961|1
X1187604299724996914|1936|2
X1200050032879964152|1978|1
X1244861070946914897|1986|1
X1251526593848678992|1982|1
X1261357907046473975|1963|1
X1267046485150364362|1964|1
X1270282022669416905|1976|1
X1273692696443472008|1977|1
X1287309600618149446|1973|2
X1293042705638532505|1980|2
X1326866569239516299|1965|2
X1334038795686112649|1968|2
X1334065216483249715|1936|2
X1343784891986409473|1955|1
X1351598133567152875|1967|2
X1351814253524227330|1976|1
X1362917639137507099|1979|2
X1366085891300968111|1985|2
X1367078416516258983|1960|1
X1367751995500521387|1968|1
X1372419838512298343|1951|2
X1374492449383733364|1967|2
X1379642081393646926|1959|2
X1385664480883953082|1965|1
X1386403888886162387|1952|1
X1397068237478857115|1972|2
X1407930913718238944|1957|2
X1415139657132215273|1964|2
X1424835116294407642|1994|1
X1428459279388631495|1973|1
X1429239910168358535|1957|2
X1460867409971700598|1956|1
X1479502308544178550|1968|2
X1481785315876866865|1974|1
X1490546049023072142|1961|2
X1503427408240155172|1971|2
X1503464773660237508|1959|2
X1523705123036737212|1950|1
X1534732403393247335|1974|2
X1547388396998854831|1992|1
X1551032840031708060|1952|2
X1557755609090268794|1974|2
X1564851903768054950|1967|1
X1574510253998630559|1971|2
X1580652519185127443|1968|1
X1583335950610837303|1975|1
X1592965820874893600|1996|2
X1603646859671538397|1999|2
X1619301537888711434|1960|2
X1619370272889003716|1938|2
X1621049450812812052|1936|2
X1626029310980007973|1984|1
X1639010719447223052|1972|1
X1651849710474790893|1993|2
X1666351825965221963|1986|2
X1666967319651152110|1959|1
X1667426776398345669|1974|2
X1668529218379245893|1939|2
X1668675012460725053|1964|1
X1671342202952122926|1974|1
X1680565879481891256|1949|1
X1685721089375416978|1980|2
X1685956779400278004|1965|1
X1688794158644288132|1938|2
X1689308815062947117|1994|2
X1696157148419708489|1981|1
X1697908806996861125|1982|2
X1715221723297301131|1953|2
X1719224191789821745|1977|2
X1720734606777376606|1950|1
X1725716482622500043|1989|1
X1728497716491745292|1985|2
X1748909111583625316|1987|2
X1753657389323253625|1987|1
X1763171644640325430|1989|2
X1771903082506084838|1969|1
X1790693897930294302|1956|1
X1793757468297682087|1975|1
X1804787235043633058|1996|1
X1806488673459483955|1989|2
X1811826510751224556|1980|2
X1813181577540040985|1965|1
X1815250773870548446|1978|2
X1819153436272523991|1985|2
X1846012967591536205|1963|1
X1848308107559189805|1990|2
X1849890167843079000|1988|2
X1861556647298792128|1985|1
X1874891449721014876|1985|1
X1876983802327030907|1962|1
X1886962507346046904|1985|2
X1898846622602385555|1967|2
X1903298678581671361|1995|1
X1919113473840104269|1976|1
X1921341536882436789|1939|2
X1925661729049209314|1968|2
X1929218349101326286|1972|2
X1934984499838527733|1959|1
X1941390655310316072|1964|2
X1973337219919627355|1947|1
X1974310370427132672|1956|2
X1982724423914976288|1989|2
X1990454879730815442|1987|1
X1996335287442851807|1994|2
X2003825727800264522|1957|2
X2009656548357742655|1964|2
X2011706375772168872|1976|1
X2013756350754637730|1944|2
X2029469927243386011|1981|2
X2033077209424551641|1957|1
X2059044189588533913|1975|2
X2059760410473104271|1981|1
X2065879950461977383|1959|2
X2074307323541886102|1979|1
X2101916600847450684|1999|2
X2104511641877714794|1971|2
X2123775081745019989|1958|2
X2125930182975884432|1977|2
X2137687914143622697|1972|2
X2150494015157310389|1974|1
