BTH_YR,GENDER,SCTR_CD,LN_AMT,DLQ_TYPE,DLQ_CD_1,DLQ_CD_2,DLQ_AMT,CD_OPN_CD_1,CD_OPN_CD_2
26,0,1,19000.0,0.0,0,0,0.0,0,0
62,1,0,0.0,0.0,0,0,0.0,1,1
62,1,0,0.0,0.0,0,0,0.0,1,1
62,1,0,0.0,0.0,0,0,0.0,1,2
62,1,0,0.0,0.0,0,0,0.0,1,1
39,0,0,0.0,0.0,0,0,0.0,1,1
39,0,0,0.0,0.0,0,0,0.0,1,1
24,0,0,0.0,0.0,0,0,0.0,1,1
56,0,6,4200.0,0.0,0,0,0.0,0,0
56,0,6,17000.0,0.0,0,0,0.0,0,0
48,0,0,0.0,0.0,0,0,0.0,1,1
48,0,0,0.0,0.0,0,0,0.0,1,1
51,0,2,100000.0,0.0,0,0,0.0,0,0
48,0,0,0.0,0.0,0,0,0.0,1,1
22,0,0,0.0,0.0,0,0,0.0,1,1
31,0,0,0.0,0.0,0,0,0.0,1,1
31,0,0,0.0,0.0,0,0,0.0,1,1
31,0,0,0.0,0.0,0,0,0.0,1,1
17,1,0,0.0,0.0,0,0,0.0,1,1
18,0,0,0.0,0.0,0,0,0.0,1,1
60,1,0,0.0,0.0,0,0,0.0,1,1
48,1,0,0.0,0.0,0,0,0.0,1,1
48,1,0,0.0,0.0,0,0,0.0,1,1
32,1,0,0.0,0.0,0,0,0.0,1,1
32,1,0,0.0,0.0,0,0,0.0,1,1
22,1,0,0.0,0.0,0,0,0.0,1,1
38,0,0,0.0,0.0,0,0,0.0,1,1
38,0,0,0.0,0.0,0,0,0.0,1,1
26,0,0,0.0,0.0,0,0,0.0,1,1
38,0,0,0.0,0.0,0,0,0.0,1,1
26,0,0,0.0,0.0,0,0,0.0,1,1
38,0,8,0.0,1.0,5,2,500.0,0,0
50,0,8,0.0,1.0,5,2,400.0,0,0
30,0,8,0.0,1.0,6,2,10000.0,0,0
30,0,8,0.0,1.0,6,1,9100.0,0,0
52,0,5,2000.0,0.0,0,0,0.0,0,0
52,0,4,69000.0,0.0,0,0,0.0,0,0
52,0,3,8200.0,0.0,0,0,0.0,1,1
52,0,6,7800.0,0.0,0,0,0.0,0,0
52,0,6,4700.0,0.0,0,0,0.0,0,0
39,1,8,0.0,1.0,6,2,2300.0,0,0
49,1,2,0.0,1.0,1,1,300000.0,0,0
63,1,1,0.0,1.0,1,1,7200.0,0,0
38,0,2,0.0,1.0,1,2,310.0,0,0
34,0,8,0.0,1.0,6,2,3000.0,0,0
31,0,1,0.0,1.0,1,1,9000.0,0,0
58,1,3,0.0,1.0,3,1,300.0,1,1
57,0,8,0.0,1.0,5,2,2200.0,0,0
40,1,3,0.0,1.0,3,1,860.0,1,1
45,1,1,0.0,1.0,1,1,1700.0,0,0
45,0,3,0.0,1.0,2,1,3500.0,0,0
74,0,3,0.0,1.0,2,1,1800.0,1,1
45,0,8,0.0,1.0,6,2,6400.0,0,0
46,1,8,0.0,1.0,5,2,10.0,0,0
46,1,1,0.0,1.0,1,1,2100.0,0,0
35,0,3,0.0,1.0,2,1,5200.0,1,1
35,0,3,0.0,1.0,2,1,2200.0,0,0
25,0,8,13000.0,0.0,0,0,0.0,0,0
42,0,8,0.0,1.0,6,2,9600.0,0,0
26,0,0,0.0,0.0,0,0,0.0,1,1
40,1,3,0.0,1.0,3,1,1800.0,1,1
38,0,0,0.0,0.0,0,0,0.0,1,1
42,0,6,2800.0,0.0,0,0,0.0,0,0
47,0,0,0.0,0.0,0,0,0.0,1,1
47,0,0,0.0,0.0,0,0,0.0,1,1
42,1,0,0.0,0.0,0,0,0.0,1,1
77,1,0,0.0,0.0,0,0,0.0,1,1
38,1,0,0.0,0.0,0,0,0.0,1,1
38,1,0,0.0,0.0,0,0,0.0,1,1
38,1,0,0.0,0.0,0,0,0.0,1,1
31,0,0,0.0,0.0,0,0,0.0,1,1
31,0,0,0.0,0.0,0,0,0.0,1,1
55,1,0,0.0,0.0,0,0,0.0,1,2
55,1,0,0.0,0.0,0,0,0.0,1,2
62,1,0,0.0,0.0,0,0,0.0,2,1
62,1,0,0.0,0.0,0,0,0.0,1,1
45,1,1,500.0,0.0,0,0,0.0,1,1
45,1,1,110000.0,0.0,0,0,0.0,0,0
74,1,0,0.0,0.0,0,0,0.0,1,1
74,1,0,0.0,0.0,0,0,0.0,1,1
74,1,0,0.0,0.0,0,0,0.0,1,1
74,1,0,0.0,0.0,0,0,0.0,1,1
74,1,0,0.0,0.0,0,0,0.0,1,1
74,1,0,0.0,0.0,0,0,0.0,1,1
37,1,0,0.0,0.0,0,0,0.0,1,2
37,1,0,0.0,0.0,0,0,0.0,1,1
37,1,0,0.0,0.0,0,0,0.0,1,1
37,1,0,0.0,0.0,0,0,0.0,1,1
37,1,0,0.0,0.0,0,0,0.0,1,1
24,1,0,0.0,0.0,0,0,0.0,1,1
47,0,0,0.0,0.0,0,0,0.0,1,1
42,0,7,5000.0,1.0,1,2,2800.0,0,0
47,0,0,0.0,0.0,0,0,0.0,1,1
34,1,0,0.0,0.0,0,0,0.0,1,1
52,1,0,0.0,0.0,0,0,0.0,1,1
52,1,0,0.0,0.0,0,0,0.0,1,1
52,1,0,0.0,0.0,0,0,0.0,2,1
44,1,0,0.0,0.0,0,0,0.0,1,1
44,1,0,0.0,0.0,0,0,0.0,1,1
49,1,0,0.0,0.0,0,0,0.0,1,1
49,1,0,0.0,0.0,0,0,0.0,1,1
49,1,0,0.0,0.0,0,0,0.0,1,1
49,1,0,0.0,0.0,0,0,0.0,1,1
36,0,0,0.0,0.0,0,0,0.0,1,1
36,0,0,0.0,0.0,0,0,0.0,1,1
36,0,0,0.0,0.0,0,0,0.0,1,1
39,1,7,8400.0,0.0,0,0,0.0,0,0
39,1,3,3400.0,1.0,2,2,3300.0,1,1
39,1,3,150.0,0.0,0,0,0.0,1,1
55,1,0,0.0,0.0,0,0,0.0,1,1
55,1,0,0.0,0.0,0,0,0.0,1,1
55,1,0,0.0,0.0,0,0,0.0,1,1
46,1,0,0.0,0.0,0,0,0.0,1,1
46,1,0,0.0,0.0,0,0,0.0,1,1
59,1,0,0.0,0.0,0,0,0.0,1,1
59,1,0,0.0,0.0,0,0,0.0,1,1
59,1,0,0.0,0.0,0,0,0.0,1,1
59,1,0,0.0,0.0,0,0,0.0,1,2
67,0,0,0.0,0.0,0,0,0.0,1,1
67,0,0,0.0,0.0,0,0,0.0,1,2
67,0,0,0.0,0.0,0,0,0.0,1,1
48,1,0,0.0,0.0,0,0,0.0,1,1
52,0,8,0.0,1.0,2,2,5000.0,0,0
27,1,8,0.0,1.0,4,2,3600.0,0,0
57,0,8,0.0,1.0,5,2,280.0,0,0
