BTH_YR,GENDER,SCTR_CD,LN_AMT,DLQ_TYPE,DLQ_CD_1,DLQ_CD_2,DLQ_AMT,CD_OPN_CD_1,CD_OPN_CD_2,LN_CD_2
26,0,1,19000.0,0.0,0,0,0.0,0,0,6
62,1,0,0.0,0.0,0,0,0.0,1,1,0
62,1,0,0.0,0.0,0,0,0.0,1,1,0
62,1,0,0.0,0.0,0,0,0.0,1,2,0
62,1,0,0.0,0.0,0,0,0.0,1,1,0
39,0,0,0.0,0.0,0,0,0.0,1,1,0
39,0,0,0.0,0.0,0,0,0.0,1,1,0
24,0,0,0.0,0.0,0,0,0.0,1,1,0
56,0,6,4200.0,0.0,0,0,0.0,0,0,14
56,0,6,17000.0,0.0,0,0,0.0,0,0,14
48,0,0,0.0,0.0,0,0,0.0,1,1,0
48,0,0,0.0,0.0,0,0,0.0,1,1,0
51,0,2,100000.0,0.0,0,0,0.0,0,0,7
48,0,0,0.0,0.0,0,0,0.0,1,1,0
22,0,0,0.0,0.0,0,0,0.0,1,1,0
31,0,0,0.0,0.0,0,0,0.0,1,1,0
31,0,0,0.0,0.0,0,0,0.0,1,1,0
31,0,0,0.0,0.0,0,0,0.0,1,1,0
17,1,0,0.0,0.0,0,0,0.0,1,1,0
18,0,0,0.0,0.0,0,0,0.0,1,1,0
60,1,0,0.0,0.0,0,0,0.0,1,1,0
48,1,0,0.0,0.0,0,0,0.0,1,1,0
48,1,0,0.0,0.0,0,0,0.0,1,1,0
32,1,0,0.0,0.0,0,0,0.0,1,1,0
32,1,0,0.0,0.0,0,0,0.0,1,1,0
22,1,0,0.0,0.0,0,0,0.0,1,1,0
38,0,0,0.0,0.0,0,0,0.0,1,1,0
38,0,0,0.0,0.0,0,0,0.0,1,1,0
26,0,0,0.0,0.0,0,0,0.0,1,1,0
38,0,0,0.0,0.0,0,0,0.0,1,1,0
26,0,0,0.0,0.0,0,0,0.0,1,1,0
38,0,8,0.0,1.0,5,2,500.0,0,0,0
50,0,8,0.0,1.0,5,2,400.0,0,0,0
30,0,8,0.0,1.0,6,2,10000.0,0,0,0
30,0,8,0.0,1.0,6,1,9100.0,0,0,0
52,0,5,2000.0,0.0,0,0,0.0,0,0,1
52,0,4,69000.0,0.0,0,0,0.0,0,0,14
52,0,3,8200.0,0.0,0,0,0.0,1,1,19
52,0,6,7800.0,0.0,0,0,0.0,0,0,14
52,0,6,4700.0,0.0,0,0,0.0,0,0,14
39,1,8,0.0,1.0,6,2,2300.0,0,0,0
49,1,2,0.0,1.0,1,1,300000.0,0,0,0
63,1,1,0.0,1.0,1,1,7200.0,0,0,0
38,0,2,0.0,1.0,1,2,310.0,0,0,0
34,0,8,0.0,1.0,6,2,3000.0,0,0,0
31,0,1,0.0,1.0,1,1,9000.0,0,0,0
58,1,3,0.0,1.0,3,1,300.0,1,1,0
57,0,8,0.0,1.0,5,2,2200.0,0,0,0
40,1,3,0.0,1.0,3,1,860.0,1,1,0
45,1,1,0.0,1.0,1,1,1700.0,0,0,0
45,0,3,0.0,1.0,2,1,3500.0,0,0,0
74,0,3,0.0,1.0,2,1,1800.0,1,1,0
