,YM_x,JOIN_KEY_x,BTH_YR,GENDER,SCTR_CD,COM_KEY,LN_CD_1,LN_CD_2,LN_YM,LN_AMT,CD_OPN_CD_1,CD_OPN_CD_2,CD_OPN_YM
0,201811,00000A7F7EAB7A89935C2A0D0E237333F6BD25F39A25CAEFC38C99C05FD27413,1967,2,5,9A12BF77685FBE13BD248D4F75BD053D60BA73B66086936900563C206B3E84D4,37,0,201808,11000,81,1,201206
1,201811,00000A7F7EAB7A89935C2A0D0E237333F6BD25F39A25CAEFC38C99C05FD27413,1967,2,5,EA0B3BCAACEBD268F5ED3F919283EEBB014A5B3B59AD8D2C18A340F2A040D67B,37,0,201804,1700,81,2,201502
2,201811,00000A7F7EAB7A89935C2A0D0E237333F6BD25F39A25CAEFC38C99C05FD27413,1967,2,5,EA0B3BCAACEBD268F5ED3F919283EEBB014A5B3B59AD8D2C18A340F2A040D67B,37,0,201804,1700,81,1,201109
3,201811,00000A7F7EAB7A89935C2A0D0E237333F6BD25F39A25CAEFC38C99C05FD27413,1967,2,5,EA0B3BCAACEBD268F5ED3F919283EEBB014A5B3B59AD8D2C18A340F2A040D67B,41,0,201810,150,81,2,201502
4,201811,00000A7F7EAB7A89935C2A0D0E237333F6BD25F39A25CAEFC38C99C05FD27413,1967,2,5,EA0B3BCAACEBD268F5ED3F919283EEBB014A5B3B59AD8D2C18A340F2A040D67B,41,0,201810,150,81,1,201109
5,201811,0000B31F01D4EF332CE61EB85A090E5EC0E757C496D27CCC26A3441D7C8FE01F,1989,2,1,9ABAC1D2DB7A8C77A7A72FA1C3740A77FCD63137C583D962CD48590C49CF7A84,31,220,201002,87000,81,1,200808
6,201811,0000F736EED7D27148F84D40C824178D895F47A9F90203DBDFBA1B04893BF3D3,1977,1,1,25908A4CC7EE760FF3A51313618C6AB24593B15F573097B210D16249367005B7,31,100,201710,50000,81,1,201503
7,201811,000109CCF85D825E08E2FA7C4E840EACC54D902C0C049F9B64BC923F21674F2B,1967,1,5,5B31C53AABAB9F62CD54DF4B584948D2D1F78B299E97E722F8937B4663FA0AE2,37,0,201810,2300,81,1,200205
8,201811,000109CCF85D825E08E2FA7C4E840EACC54D902C0C049F9B64BC923F21674F2B,1967,1,5,5B31C53AABAB9F62CD54DF4B584948D2D1F78B299E97E722F8937B4663FA0AE2,37,0,201810,2500,81,1,200205
9,201811,000109CCF85D825E08E2FA7C4E840EACC54D902C0C049F9B64BC923F21674F2B,1967,1,5,5B31C53AABAB9F62CD54DF4B584948D2D1F78B299E97E722F8937B4663FA0AE2,41,0,201805,900,81,1,200205
10,201811,000133A8D385302CCEEB9BB936A32ADCE3AB979B028C687890D9A6D2483EE25A,1975,2,5,0924E6311E2599FA96A52A84F582C48E3E74450885264ABF296537A645C45E65,41,0,201305,3100,81,1,199512
11,201811,000133A8D385302CCEEB9BB936A32ADCE3AB979B028C687890D9A6D2483EE25A,1975,2,5,0924E6311E2599FA96A52A84F582C48E3E74450885264ABF296537A645C45E65,37,0,201811,13000,81,1,199512
12,201811,000135868B4B642A9DDE0EEE54C7E3904BA368A706E2743CEAA6E4FA4C6EBC17,1952,1,3,C03CE3A4C9BF9E714142FF32B3F0E6E3A4AA4A355D4936B56D01944566ADD9C7,31,100,200506,20000,81,2,201504
13,201811,00013CA1AB1F193D81F399DB1F6FEF3C033FFC9E6174D9459FF805EECF6EC82E,1947,1,5,AF341E8214A5F2F5E1538B200338B9C5280449BC4C7A7931A534A7C551D80FE9,41,0,201806,100,81,1,200312
14,201811,00015083AE07BCC7E3E4F22DCFC8C3334C972FA2860FD1B47A648B306038B48E,1958,1,3,F23CE8394A2CD7416F7549D2A0DFF2967F11E2D70A1B29D6E08D93F58ED78B6E,31,100,200612,26000,81,1,200008
15,201811,0001603A015A8AF3C3B51BE6321EA53077FD950EFB69DEAFC86C86D23941BDD9,1960,2,1,646B0D378211A43D9FD9402F32F79D2CDF4B9CF7D293A0FA267016006D3FEB1A,31,220,201409,220000,81,2,201307
16,201811,0001603A015A8AF3C3B51BE6321EA53077FD950EFB69DEAFC86C86D23941BDD9,1960,2,5,C0328CFDA99B472F0165F2693E65200AF290A44B8FAC355B12F030066064507F,41,0,201802,5400,81,1,199512
17,201811,0001603A015A8AF3C3B51BE6321EA53077FD950EFB69DEAFC86C86D23941BDD9,1960,2,5,C0328CFDA99B472F0165F2693E65200AF290A44B8FAC355B12F030066064507F,37,0,201704,8600,81,1,199512
18,201811,0002231D14CD88AE77BB77ABC27AAC59857EFC5F0266E5DDD3A776B5F4A91EC0,1983,2,1,879535063CEC022C0976D09DDEBF196C37CB293C654D22B698C467EB31956DC4,37,0,201412,2100,81,1,201112
19,201811,00026561738A5107E6A8588C4A1DB907BABE6CE610831EC387B7278A17FDC5C1,1987,2,5,06D86F29DC73E4C40340BF3E3048651D6528C1AE4638584CD320AB529740C98E,37,0,201807,4100,81,1,201403
20,201811,00026561738A5107E6A8588C4A1DB907BABE6CE610831EC387B7278A17FDC5C1,1987,2,5,7B85A5F810E597BB51789915FC371BACBFD9C944D4973312BF4E39E959598F93,37,0,201610,3700,81,1,201509
21,201811,00026561738A5107E6A8588C4A1DB907BABE6CE610831EC387B7278A17FDC5C1,1987,2,5,7B85A5F810E597BB51789915FC371BACBFD9C944D4973312BF4E39E959598F93,41,0,201806,2400,81,1,201509
22,201811,00026561738A5107E6A8588C4A1DB907BABE6CE610831EC387B7278A17FDC5C1,1987,2,5,7B85A5F810E597BB51789915FC371BACBFD9C944D4973312BF4E39E959598F93,37,0,201711,8300,81,1,201509
23,201811,000269A5EEA7D7D5276F605C60EC1E39454EC6E021FDA0227AAC7A3785043236,1960,2,3,8B11A47C2EF0AEAD6A916E7342B8AE99CE096D2F41C4461AC9B1E7C7AB0944DF,31,100,201412,10000,81,1,201804
24,201811,0003168257B37041667246252E4106A065392C845D865A0CE446F4661C3696F3,1996,2,5,0007005097CD16A55ED165EA259004D443A5E22CA7B48C5E4EFA603C7C2682A2,41,0,201806,200,81,1,201505
25,201811,0003168257B37041667246252E4106A065392C845D865A0CE446F4661C3696F3,1996,2,5,0007005097CD16A55ED165EA259004D443A5E22CA7B48C5E4EFA603C7C2682A2,37,0,201804,2000,81,1,201505
26,201811,0003168257B37041667246252E4106A065392C845D865A0CE446F4661C3696F3,1996,2,5,0F58D7773150F5A36F83F3531E2B7200B621E4A68E82A67517032062CDCF9A93,37,0,201711,480,81,1,201606
27,201811,0003168257B37041667246252E4106A065392C845D865A0CE446F4661C3696F3,1996,2,5,71F0EEB1E78AA0B703E3F58789B1B9B120EEB68CC1F03D4E0874C46D04ED1DF1,41,0,201811,200,81,1,201603
28,201811,00031C4BC8F73A5CD645A925AB0878F3F2CC119A707E0F8ABA7F607F242B8A24,1967,1,1,668B52B4B2B08FA3ABB99FDA19EF1F9FE0E5F0BCBCB47570AD2D767D4E5F3A79,31,100,200803,56000,81,1,201004
29,201811,000337AFEF948A320393CEA8201ACE3CEFAE4B905A74FE8B71C65A3DE93CA0C7,1988,1,5,6F35EB0C93C76F179DB135AA049624612C745B6B576B3C738C3084779A09046A,37,0,201803,4100,81,2,201605
30,201811,000337AFEF948A320393CEA8201ACE3CEFAE4B905A74FE8B71C65A3DE93CA0C7,1988,1,5,6F35EB0C93C76F179DB135AA049624612C745B6B576B3C738C3084779A09046A,37,0,201803,4100,81,1,201606
31,201811,000337AFEF948A320393CEA8201ACE3CEFAE4B905A74FE8B71C65A3DE93CA0C7,1988,1,5,6F35EB0C93C76F179DB135AA049624612C745B6B576B3C738C3084779A09046A,41,0,201704,1400,81,2,201605
32,201811,000337AFEF948A320393CEA8201ACE3CEFAE4B905A74FE8B71C65A3DE93CA0C7,1988,1,5,6F35EB0C93C76F179DB135AA049624612C745B6B576B3C738C3084779A09046A,41,0,201704,1400,81,1,201606
33,201811,000362B54F4DD4F8C209E9A101DF902DBB272F3853BD05292B38404D89D47B53,1980,1,5,8B08E5ABF3EB9B6FAF486A25D37633854D9B88DC4B550A33E8E7F74B1849C8B3,41,0,201810,400,81,1,200205
34,201811,00045C9E1B84950158C4158CA7C52C2B4A7083594498AFDA3EFBB3579ACB1D53,1985,1,5,06198BE168F81116EE9CC419EE15959ED2BD6755F5120B561CD30DDAA43ABF11,41,0,201805,3600,81,1,201410
35,201811,00045C9E1B84950158C4158CA7C52C2B4A7083594498AFDA3EFBB3579ACB1D53,1985,1,5,06198BE168F81116EE9CC419EE15959ED2BD6755F5120B561CD30DDAA43ABF11,41,0,201805,3600,83,1,201502
36,201811,00045C9E1B84950158C4158CA7C52C2B4A7083594498AFDA3EFBB3579ACB1D53,1985,1,5,06198BE168F81116EE9CC419EE15959ED2BD6755F5120B561CD30DDAA43ABF11,41,0,201805,3600,81,2,201803
37,201811,00045C9E1B84950158C4158CA7C52C2B4A7083594498AFDA3EFBB3579ACB1D53,1985,1,5,06198BE168F81116EE9CC419EE15959ED2BD6755F5120B561CD30DDAA43ABF11,41,0,201806,520,81,1,201410
38,201811,00045C9E1B84950158C4158CA7C52C2B4A7083594498AFDA3EFBB3579ACB1D53,1985,1,5,06198BE168F81116EE9CC419EE15959ED2BD6755F5120B561CD30DDAA43ABF11,41,0,201806,520,83,1,201502
39,201811,00045C9E1B84950158C4158CA7C52C2B4A7083594498AFDA3EFBB3579ACB1D53,1985,1,5,06198BE168F81116EE9CC419EE15959ED2BD6755F5120B561CD30DDAA43ABF11,41,0,201806,520,81,2,201803
40,201811,00045C9E1B84950158C4158CA7C52C2B4A7083594498AFDA3EFBB3579ACB1D53,1985,1,5,06198BE168F81116EE9CC419EE15959ED2BD6755F5120B561CD30DDAA43ABF11,37,0,201705,2300,81,1,201410
41,201811,00045C9E1B84950158C4158CA7C52C2B4A7083594498AFDA3EFBB3579ACB1D53,1985,1,5,06198BE168F81116EE9CC419EE15959ED2BD6755F5120B561CD30DDAA43ABF11,37,0,201705,2300,83,1,201502
42,201811,00045C9E1B84950158C4158CA7C52C2B4A7083594498AFDA3EFBB3579ACB1D53,1985,1,5,06198BE168F81116EE9CC419EE15959ED2BD6755F5120B561CD30DDAA43ABF11,37,0,201705,2300,81,2,201803
43,201811,0004ED0A8BAD7C41BBCBA93AC8A61D931235C5F5EBE074D964642129467637C8,1981,2,5,D0903E70CFCE3AC9B719DBF9E9A3C37F7E764BD26FA09F35F9678DC45D2F550D,41,0,201507,240,81,1,200806
44,201811,0004EF0DEA470DCAAEE905336944EB25297FB15B7D0225B2FF4A5398729E3137,1986,2,1,8EA513C305093A0A03A9591B17AA47880AF7C989D56DEE3CD32CE60D89A8CDCE,31,100,201703,12000,81,1,201503
45,201811,0004EF0DEA470DCAAEE905336944EB25297FB15B7D0225B2FF4A5398729E3137,1986,2,1,8EA513C305093A0A03A9591B17AA47880AF7C989D56DEE3CD32CE60D89A8CDCE,31,220,201801,160000,81,1,201503
46,201811,0004EF0DEA470DCAAEE905336944EB25297FB15B7D0225B2FF4A5398729E3137,1986,2,1,8EA513C305093A0A03A9591B17AA47880AF7C989D56DEE3CD32CE60D89A8CDCE,31,100,201610,5700,81,1,201503
47,201811,0004EF0DEA470DCAAEE905336944EB25297FB15B7D0225B2FF4A5398729E3137,1986,2,5,F47835F76BCCCB41DF10EFC3F5DDF6AFB5038C1AE1C60C524B0330A7B0E78BCA,41,0,201805,120,81,1,201107
48,201811,0004EF0DEA470DCAAEE905336944EB25297FB15B7D0225B2FF4A5398729E3137,1986,2,5,F47835F76BCCCB41DF10EFC3F5DDF6AFB5038C1AE1C60C524B0330A7B0E78BCA,37,0,201810,11000,81,1,201107
49,201811,000500DA9A5DD841E66F3BF6C8378058987C6D61358109AED18180A94E984BB4,1993,1,5,7DEBB91E504276CC422E84BAB939E62F0A34C7ABD85212B5F6E945F700ED7F0C,37,0,201802,4700,81,1,201412
50,201811,0005030C33C237D8D62431E9D3DFB137B2A2839E43FFD433D010046DBBC998F8,1987,1,5,E62A4C15FAA55B7F9490CEBFC843BD86A302B4801407562200D3725E951F26B6,41,0,201811,120,81,1,201101
51,201811,0005030C33C237D8D62431E9D3DFB137B2A2839E43FFD433D010046DBBC998F8,1987,1,5,E62A4C15FAA55B7F9490CEBFC843BD86A302B4801407562200D3725E951F26B6,41,0,201811,120,83,1,201312
52,201811,0005030C33C237D8D62431E9D3DFB137B2A2839E43FFD433D010046DBBC998F8,1987,1,5,E62A4C15FAA55B7F9490CEBFC843BD86A302B4801407562200D3725E951F26B6,37,0,201803,15000,81,1,201101
53,201811,0005030C33C237D8D62431E9D3DFB137B2A2839E43FFD433D010046DBBC998F8,1987,1,5,E62A4C15FAA55B7F9490CEBFC843BD86A302B4801407562200D3725E951F26B6,37,0,201803,15000,83,1,201312
54,201811,0005704911EDCA4AB54B7A1A62E96E95F9DA9AAE703224FEC0EB715B4AE6CC14,1984,1,1,F15221482C7033E920D9C0F89494CD71248B788AD0270B4235B7E361A4DAD995,31,100,201806,3200,81,1,201301
55,201811,000585C17AB60E95F2FB4A147ED5EA2FE66D0C82C305EAEDC0817F3F82D4763C,1980,2,5,1B4CA1141002F9FBB45A8B7A8B3958A061A129B60259495752B4E3572A2BAAF5,37,0,201801,3400,81,1,200011
56,201811,000585C17AB60E95F2FB4A147ED5EA2FE66D0C82C305EAEDC0817F3F82D4763C,1980,2,5,1B4CA1141002F9FBB45A8B7A8B3958A061A129B60259495752B4E3572A2BAAF5,37,0,201809,13000,81,1,200011
57,201811,000585C17AB60E95F2FB4A147ED5EA2FE66D0C82C305EAEDC0817F3F82D4763C,1980,2,1,651F3767E0A092314B204E9ED5F9AECA344A97D59158B8D78B7E829AB5FD854B,31,220,201811,210000,81,1,200501
58,201811,000585C17AB60E95F2FB4A147ED5EA2FE66D0C82C305EAEDC0817F3F82D4763C,1980,2,1,651F3767E0A092314B204E9ED5F9AECA344A97D59158B8D78B7E829AB5FD854B,41,0,201504,2100,81,1,200501
59,201811,000585C17AB60E95F2FB4A147ED5EA2FE66D0C82C305EAEDC0817F3F82D4763C,1980,2,5,EA67DAE04601ACCBA562A424CE9AB80F825839E673857FB565860A60BF1EFD12,37,0,201806,1600,81,1,200009
60,201811,0005ABA436C527B0ADF114939CC06732AA862C5B1888AB05246EB333E6B0AA08,1962,1,5,C1EAFB8E28A0D2938917121B6CA1A4C4B7D27848C249387A1EDB7C826668AB01,41,0,201811,100,83,1,201309
61,201811,0005ABA436C527B0ADF114939CC06732AA862C5B1888AB05246EB333E6B0AA08,1962,1,5,C1EAFB8E28A0D2938917121B6CA1A4C4B7D27848C249387A1EDB7C826668AB01,41,0,201811,100,81,2,200801
62,201811,0005ABA436C527B0ADF114939CC06732AA862C5B1888AB05246EB333E6B0AA08,1962,1,5,C1EAFB8E28A0D2938917121B6CA1A4C4B7D27848C249387A1EDB7C826668AB01,41,0,201811,100,81,1,200807
63,201811,0005ABA436C527B0ADF114939CC06732AA862C5B1888AB05246EB333E6B0AA08,1962,1,5,C1EAFB8E28A0D2938917121B6CA1A4C4B7D27848C249387A1EDB7C826668AB01,37,0,201811,5000,83,1,201309
64,201811,0005ABA436C527B0ADF114939CC06732AA862C5B1888AB05246EB333E6B0AA08,1962,1,5,C1EAFB8E28A0D2938917121B6CA1A4C4B7D27848C249387A1EDB7C826668AB01,37,0,201811,5000,81,2,200801
65,201811,0005ABA436C527B0ADF114939CC06732AA862C5B1888AB05246EB333E6B0AA08,1962,1,5,C1EAFB8E28A0D2938917121B6CA1A4C4B7D27848C249387A1EDB7C826668AB01,37,0,201811,5000,81,1,200807
66,201811,0005ABA436C527B0ADF114939CC06732AA862C5B1888AB05246EB333E6B0AA08,1962,1,5,CF584B9046D9C050E54B5C4037DA0B001BDDDCDDB2368C970322F1AE1596937C,37,0,201612,12000,81,1,201010
67,201811,0005ABA436C527B0ADF114939CC06732AA862C5B1888AB05246EB333E6B0AA08,1962,1,5,CF584B9046D9C050E54B5C4037DA0B001BDDDCDDB2368C970322F1AE1596937C,37,0,201706,100,81,1,201010
68,201811,0005CBC3DA0D7471F34089C65A0CC37E670FE2F158B279959D867ACE60AD7016,1956,1,5,B2EC5E0CDBCC8F5C2C3D2106A4A21876C8938EE2EA8D2A8620F07F4962B3310F,37,0,201211,14000,81,1,199601
69,201811,0005E9661B750C9B3634A8C08F273DEB252C77608BDA409C0CB3FF1A96E45856,1974,1,5,1D4D5AB363BF1BC4603F485B7EFBF3A1E4712E8CC586E9E1084890B277B61608,41,0,201702,1200,81,1,201104
70,201811,0005E9661B750C9B3634A8C08F273DEB252C77608BDA409C0CB3FF1A96E45856,1974,1,5,5B52039F312C35D91B25FCFFDEA321417E57DF1C936DF7A3F38EB642C3E10E2E,41,0,201702,6700,81,1,200003
71,201811,0005E9661B750C9B3634A8C08F273DEB252C77608BDA409C0CB3FF1A96E45856,1974,1,5,5BADA8C694B1032211DE38B2BB6586A0B7D73AC455083E03EE00AC7F28F0CEBB,37,0,201709,8000,81,1,200002
72,201811,0005F0FDB679A9383C364A99DFF34B2354B38123818F9F9FF2BF0B10FB98F28F,1982,2,1,DE9462542D3891CC490CB897C20A22976FA56C21E7AACE8B2D918E393AD2936E,41,0,201811,400,81,1,201507
73,201811,0005F329751B8F38E89BC024B1CDC8DBEA911810D2917ED3B5794A9C5F24FDEC,1982,2,5,56F9B0E217AF36C7DBD27F900BF311B7F8FFC95F561B1015DD872C140E71231E,37,0,201704,2700,81,1,201412
74,201811,0005F329751B8F38E89BC024B1CDC8DBEA911810D2917ED3B5794A9C5F24FDEC,1982,2,5,D6DE7B8AA4BFB9E57D57321229F021E3D4C6F7DD7261F871FFC3F99FE549D6B2,37,0,201806,2900,81,1,201510
75,201811,0005F329751B8F38E89BC024B1CDC8DBEA911810D2917ED3B5794A9C5F24FDEC,1982,2,5,D6DE7B8AA4BFB9E57D57321229F021E3D4C6F7DD7261F871FFC3F99FE549D6B2,41,0,201808,120,81,1,201510
76,201811,0005F329751B8F38E89BC024B1CDC8DBEA911810D2917ED3B5794A9C5F24FDEC,1982,2,5,D6DE7B8AA4BFB9E57D57321229F021E3D4C6F7DD7261F871FFC3F99FE549D6B2,37,0,201807,9600,81,1,201510
77,201811,0006268E5735E810F7BCDDEBB995D46F0108FEA705EB84C5BAC2D1D4DB46400B,1947,1,5,E77C50D377B82319250297DCACD95B3936BF3565DF38D9A48178AC5E1DCBCB1C,37,0,201805,22000,81,1,200406
78,201811,00062F94C3CF590503BAD6B03A3A71216966FA9CAD4B0A5B273C694F384093AB,1947,2,3,D8867F1D048841386698DD3F859EF2C9B8AA83B18FEF69936D603B583C340434,31,100,201502,10000,81,1,201805
79,201811,00062F94C3CF590503BAD6B03A3A71216966FA9CAD4B0A5B273C694F384093AB,1947,2,3,D8867F1D048841386698DD3F859EF2C9B8AA83B18FEF69936D603B583C340434,31,220,201105,14000,81,1,201805
80,201811,0006301CDC95A54FE687F7F9519D713843C97F19EEA2D349F5C531DA08FE9C51,1972,1,5,8E2F2E20DF763E4ED2FF8382DFF83A722D2510597F471525205E96AC5EDA4DA0,41,0,201809,430,81,1,200706
81,201811,0006322285BD60C23B635ED011F72884247487536D0D0E237ACCBFCA06ED7574,1985,1,5,73CE818C9C55A78F3A5B6194AE4AFAF5DAE25122D0AEBCDCEFBC37701FE13D25,41,0,201811,50,81,1,200908
82,201811,0006322285BD60C23B635ED011F72884247487536D0D0E237ACCBFCA06ED7574,1985,1,5,C1D271A7528B5DCB4B392D91B215BA733038B2BA32C31D0F06A22C395B084D07,37,0,201808,3000,81,1,199906
